id,valence_cue,valence_tar,BA_answer,BA_resp,excluded
6,emo,neu,B,A,FALSE
6,neu,emo,B,A,FALSE
6,emo,emo,A,B,FALSE
6,emo,neu,B,A,FALSE
6,neu,emo,B,A,FALSE
6,emo,emo,B,A,FALSE
6,neu,emo,B,nei,FALSE
6,emo,neu,A,A,FALSE
6,emo,neu,A,nei,FALSE
6,neu,emo,A,A,FALSE
6,emo,neu,A,A,FALSE
6,emo,neu,B,A,FALSE
6,neu,emo,B,B,FALSE
6,emo,emo,A,A,FALSE
6,emo,neu,B,nei,FALSE
6,emo,neu,A,A,FALSE
6,neu,emo,A,A,FALSE
6,emo,neu,A,A,FALSE
6,neu,neu,B,nei,FALSE
6,neu,emo,B,A,FALSE
6,emo,emo,B,A,FALSE
6,neu,emo,B,nei,FALSE
6,emo,emo,nei,B,FALSE
6,emo,neu,A,B,FALSE
6,emo,neu,B,,FALSE
6,emo,neu,A,B,FALSE
6,emo,neu,B,,FALSE
6,neu,emo,B,A,FALSE
6,neu,neu,nei,A,FALSE
6,neu,emo,B,A,FALSE
6,neu,emo,A,A,FALSE
6,neu,neu,A,B,FALSE
6,emo,neu,A,A,FALSE
6,neu,emo,A,B,FALSE
6,neu,emo,A,A,FALSE
7,neu,emo,B,,FALSE
7,neu,emo,A,B,FALSE
7,emo,neu,A,nei,FALSE
7,neu,emo,B,A,FALSE
7,emo,neu,B,,FALSE
7,neu,emo,B,B,FALSE
7,neu,emo,A,A,FALSE
7,neu,emo,B,A,FALSE
7,neu,neu,A,,FALSE
7,emo,neu,A,B,FALSE
7,neu,neu,nei,nei,FALSE
7,neu,emo,A,A,FALSE
7,emo,neu,A,B,FALSE
7,emo,neu,B,A,FALSE
7,emo,neu,B,A,FALSE
7,emo,emo,nei,,FALSE
7,emo,neu,A,B,FALSE
7,emo,emo,A,nei,FALSE
7,neu,emo,A,,FALSE
7,neu,emo,B,B,FALSE
7,emo,neu,B,B,FALSE
7,neu,neu,B,nei,FALSE
7,emo,emo,B,A,FALSE
7,emo,neu,A,A,FALSE
7,emo,emo,B,B,FALSE
7,emo,neu,B,nei,FALSE
7,neu,neu,B,B,FALSE
7,emo,neu,B,A,FALSE
7,emo,neu,A,,FALSE
7,neu,emo,A,A,FALSE
7,neu,emo,B,nei,FALSE
7,neu,emo,A,nei,FALSE
7,emo,neu,B,A,FALSE
7,neu,emo,B,B,FALSE
7,neu,emo,B,A,FALSE
7,neu,emo,B,A,FALSE
7,neu,emo,A,B,FALSE
7,emo,neu,B,nei,FALSE
7,neu,neu,nei,nei,FALSE
7,emo,emo,nei,A,FALSE
7,emo,neu,A,B,FALSE
7,emo,emo,A,,FALSE
7,emo,neu,A,A,FALSE
7,neu,emo,A,A,FALSE
7,neu,emo,A,nei,FALSE
7,emo,neu,A,nei,FALSE
7,emo,neu,B,nei,FALSE
7,neu,neu,A,,FALSE
7,neu,neu,B,B,FALSE
7,neu,emo,A,B,FALSE
7,emo,neu,A,A,FALSE
7,emo,neu,B,nei,FALSE
7,neu,emo,A,,FALSE
7,neu,emo,B,nei,FALSE
7,emo,emo,B,A,FALSE
7,emo,neu,B,nei,FALSE
7,neu,emo,B,A,FALSE
7,neu,emo,A,A,FALSE
7,emo,emo,nei,A,FALSE
7,neu,neu,nei,nei,FALSE
7,neu,emo,B,,FALSE
7,emo,neu,B,B,FALSE
7,neu,emo,B,,FALSE
7,emo,neu,B,B,FALSE
7,neu,emo,A,nei,FALSE
7,emo,neu,A,A,FALSE
7,emo,neu,B,A,FALSE
7,neu,neu,A,B,FALSE
7,emo,neu,A,B,FALSE
7,emo,neu,A,A,FALSE
7,emo,emo,A,A,FALSE
7,neu,emo,A,nei,FALSE
7,neu,emo,B,nei,FALSE
7,emo,neu,B,A,FALSE
7,neu,neu,B,nei,FALSE
7,emo,neu,A,A,FALSE
7,emo,neu,B,nei,FALSE
7,emo,emo,nei,B,FALSE
7,neu,emo,A,,FALSE
7,emo,neu,A,A,FALSE
7,neu,emo,A,nei,FALSE
7,neu,emo,B,nei,FALSE
7,neu,neu,nei,A,FALSE
7,neu,neu,A,A,FALSE
7,neu,emo,A,A,FALSE
7,emo,neu,B,A,FALSE
7,neu,emo,B,B,FALSE
7,emo,emo,A,B,FALSE
7,emo,neu,B,A,FALSE
7,neu,emo,B,A,FALSE
7,emo,emo,B,A,FALSE
7,neu,emo,B,A,FALSE
